Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Affineur Walo Rotwein Sennechäs,unpasteurized cow's milk,Switzerland,Bern,Swiss Cheese,"hard, artisan",,59%,,smooth,washed,cream,"creamy, pronounced, spicy, sweet","pungent, rich, strong", no ,Affineur Walo of Mühlenen,"Affineur Walo red wine Sennechäs, Affineur Walo Red Wine Farmer",
Afuega'l Pitu,pasteurized or unpasteurized cow's milk,Spain,Asturias,,"soft, artisan",,45%,,smooth,cloth wrapped,red,"spicy, strong",, no ,,,
Aged British Cheddar,unpasteurized cow's milk,United States,NY,Cheddar,"hard, artisan",,,,"crumbly, crystalline and flaky",natural,pale yellow,sharp,smokey,,Muranda Cheese Company,,
Aged Cashew & Blue Green Algae Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,blue,"creamy, mellow, oceanic, tangy",rich,yes ,Dr. Cow Tree Nut Cheese,,
Aged Cashew & Brazil Nut Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,brown,"creamy, nutty, sweet","nutty, rich",yes ,Dr. Cow Tree Nut Cheese,,
Aged Cashew & Dulse Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,brown,"creamy, oceanic",rich,yes ,Dr. Cow Tree Nut Cheese,,
Aged Cashew & Hemp Seed Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,brown,"creamy, mild, nutty, spicy","nutty, rich",yes ,Dr. Cow Tree Nut Cheese,,
Aged Cashew Nut & Kale Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,green,"creamy, oceanic, tangy",rich,yes ,Dr. Cow Tree Nut Cheese,,
Aged Cashew Nut Cheese,,United States,Brooklyn NY,,"firm, artisan",,,,firm and spreadable,,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",yes ,Dr. Cow Tree Nut Cheese,"Reishi Mushroom Aged Cashew Cheese, Truffle Aged Cashew Cheese, Smoked Aged Cashew Cheese, Cajun Aged Cashew Cheese",Plain Aged Cashew Cheese
Aged Chelsea,pasteurized goat's milk,United States,"Ann Arbor, Michigan",,soft,,,,creamy and spreadable,mold ripened ,ivory,"acidic, buttery, sweet",goaty, no ,Zingermans.com LLC,,
Aged Gouda,"pasteurized or unpasteurized cow's, goat's or sheep's milk",Netherlands,"South Holland, Gouda",Gouda,"hard, artisan, brined, processed",76%,31 g/100g,958 mg/100g,"brittle, crumbly, crystalline and flaky",waxed,yellow,"burnt caramel, full-flavored","rich, ripe", no ,,"Jong belegen Gouda, Belegen Gouda, Extra belegen Gouda, Oud Gouda, Overjarig Gouda, Five-Year Aged Gouda, Gouda, Aged Four Years",
Aggiano,pasteurized cow's milk,United States,Utah,,"hard, artisan",,,,creamy and dry,,cream,"butterscotch, tangy",fruity,yes ,Beehive Cheese Company,,
Ailsa Craig,pasteurized goat's milk,Scotland and United Kingdom,Stewarton,,"semi-soft, artisan",,,,creamy and fluffy,rindless,white,creamy,goaty,yes ,Dunlop Dairy,,Paddy's Milestone
Airag,mare's milk,Mongolia and Turkey,,,"soft, artisan",,,,creamy,rindless,,sour,, no ,,Kumis,Ayrag
Airedale,pasteurized cow's milk,New Zealand,Airedale farming district,,"semi-soft, artisan",,,,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",yes ,Whitestone Cheese,,Aged Airedale
Aisy Cendre,pasteurized cow's milk,France,Burgundy,,"semi-soft, smear-ripened",,50%,,creamy and smooth,washed,white,"full-flavored, herbaceous, salty, smokey ","earthy, nutty, smokey", no ,,"Ashen Aisy, Cendre d'Aisy",
Allgauer Emmentaler,unpasteurized cow's milk,Germany,Swabia,,hard,,45%,,firm,natural,yellow,nutty,pungent, no ,,,
Allium Piper,pasteurized goat's milk,Australia,South Australia,,"fresh soft, artisan",,45%,,creamy and soft,,white,"garlicky, spicy","fresh, garlicky, spicy",yes ,Woodside Cheese Wrights,"Woodside Allium Piper, Woodside Chevre - Allium Piper",
Alma Vorarlberger Alpkäse (3-5 months),unpasteurized cow's milk,Austria,Vorarlberg,,"hard, artisan",,34%,,firm,natural,yellow,"mild, spicy","mild, spicy", no ,Rupp AG,Vorarlberg Alpine cheese 3-5 months,
Alma Vorarlberger Alpkäse (6-9 months),unpasteurized cow's milk,Austria,Vorarlberg,,"hard, artisan",,34%,,firm,natural,yellow,"spicy, strong","spicy, strong", no ,Rupp AG,Vorarlberg Alpine cheese 6-9 months,
Alma Vorarlberger Bergkäse (10 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal ",,"hard, artisan",,34%,,"brittle, firm, flaky and open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong", no ,Rupp AG,,Vorarlberger Bergkase 10 months
Alma Vorarlberger Bergkäse (12 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",,"hard, artisan",,34%,,"brittle, firm, flaky and open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong", no ,Rupp AG,,Vorarlberger Bergkase 12 months
Alma Vorarlberger Bergkäse (6 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal ",,"hard, artisan",,34%,,"firm, open and supple",natural,cream,"piquant, spicy, tangy",aromatic, no ,Rupp AG,,Vorarlberger Bergkase 6 months
Almnäs Tegel,unpasteurized cow's milk,Sweden,Västra Götaland,,"hard, smear-ripened",,,,open and smooth,washed,straw,"caramel, fruity, nutty","fruity, sweet", no ,Almnäs Bruk,,
Alpe di Frabosa,cow's milk,Italy,,,semi-soft,,,,,,,bitter,"milky, mushroom", no ,,,
Alpha Tolman,unpasteurized cow's milk,United States,"Greensboro, VT ",Swiss Cheese,"semi-hard, artisan",,,,"dense, elastic and smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",,Jasper Hill Farm,,
Alpicrème,goat's milk,France,,,soft,,,,,,,,, no ,,,
Alpine Gold,pasteurized cow's milk,Canada,British Columbia,,"semi-soft, brined",,,,supple,washed,cream,"floral, grassy, savory","earthy, floral, rich", no ,The Farm House Natural Cheeses,,
Alpine-Style,unpasteurized cow's milk,United States,Maine,Swiss Cheese,"semi-hard, artisan",,,,"creamy, crumbly, open and smooth",natural,yellow,"buttery, smooth",rich,,,,
Alps Rebel,unpasteurized cow's milk,Austria,Sulzberg,,"semi-hard, artisan",,48%,,creamy and open,natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",,Sulzberger Käserebellen Sennerei GmbH,Alpenrebell,
Alta Badia,pasteurized cow's milk,Italy,,,semi-soft,,33.5  g/100g,,firm,,,"milky, sharp, tangy",, no ,Mila LATTE MONTAGNA ALTO ADIGE,,
Alverca,pasteurized goat's and sheep's milk,Portugal,,,semi-hard,,40-50%,,,,,,, no ,,,
Amablu Blue cheese,unpasteurized cow's milk,United States,,Blue,"semi-soft, artisan, blue-veined",,,,crumbly,,,tangy,, no ,Caves of Faribault,,
Amalthée,goat's milk,France,Charentes-Poitou,,"soft, soft-ripened",,,,,bloomy,,"grassy, mild, sweet","goaty, grassy, mild, sweet", no ,,,
Amarelo de Beira Baixa,goat's and sheep's milk,Portugal,Beira Baixa Province,,"semi firm, artisan",,45-60%,,firm,,yellow,"bitter, buttery, earthy, grassy, spicy, tangy","aromatic, buttery", no ,,Yellow cheese from the lower Beira,
Ambert,pasteurized or unpasteurized cow's milk,France,"Auvergne, Rhône-Alpes",Blue,"semi-hard, artisan, blue-veined",,50%,,"creamy, dense and supple",natural,blue,"savory, sharp, smooth, tangy","fruity, strong, woody", no ,,,Fourme d'Ambert
Ameribella,cow's milk,United States,Indiana,,"semi-soft, artisan",,,,"creamy, runny, smooth and spreadable",washed,straw,"mushroomy, salty, savory, sweet","earthy, grassy, lactic",,Jacobs & Brichford Farmstead Cheese,Arabella,
American Cheese,pasteurized cow's milk,United States,,,"semi-soft, processed",,,,creamy and smooth,rindless,yellow,"creamy, mild",, no ,,,
Ami du Chambertin,pasteurized or unpasteurized cow's milk,France,"Gevrey-Chambertin, Burgundy",,"semi-soft, artisan, brined",,45%,,smooth,washed,white,"buttery, sharp",, no ,,L'Ami du Chambertin,
Amish Frolic,unpasteurized cow's milk,United States,"Milford, NJ",,"hard, artisan",,,,flaky and open,natural,pale yellow,"grassy, nutty, sweet",grassy, no ,Bobolink Dairy,,
Amou,unpasteurized sheep's milk,France,"Amou, Gascony",,firm,,45%,,,,golden yellow,,, no ,,"Amu, l'Amou",
Amsterdammer (British Columbia),,Canada,"Comox Valley, Vancouver Island",,"semi-soft, firm",,30%,,buttery and creamy,natural,pale yellow,"buttery, creamy","aromatic, buttery", no ,Natural Pastures Cheese Company,,
Amul Cheese Spread,pasteurized cow's milk,India,Gujarat,,"soft, processed",,18-20%,,creamy and spreadable,artificial,pale yellow,"creamy, salty, savory, spicy",,yes ,Gujarat Cooperative Milk Marketing Federation (Amul),,
Amul Emmental,pasteurized cow's milk,India,Gujarat,Swiss Cheese,semi-hard,,46%,488 mg/100g,firm and open,artificial,yellow,sweet,nutty,yes ,Gujarat Cooperative Milk Marketing Federation (Amul),,
Amul Gouda,pasteurized cow's milk,India,Gujarat,Gouda,semi-hard,,46%,492 mg/100g,"compact, dense, firm and springy",plastic,yellow,"fruity, sweet",mild,yes ,Gujarat Cooperative Milk Marketing Federation (Amul),,
Amul Pizza Mozzarella Cheese,pasteurized cow's milk,India,Gujarat,Mozzarella,"semi-soft, processed",,30-40%,492 mg/100g,elastic and stringy,artificial,yellow,salty,pleasant,yes ,Gujarat Cooperative Milk Marketing Federation (Amul),,
Amul Processed Cheese,pasteurized cow's or water buffalo's milk,India,Gujarat,Cheddar,"hard, processed",,26%,343 mg/100g,crumbly and dense,artificial,yellow,"buttery, creamy, salty",,yes ,Gujarat Cooperative Milk Marketing Federation (Amul),,
Anari,pasteurized goat's or sheep's milk,Cyprus,island wide,Cottage,"fresh soft, hard, artisan",,8%,,"brittle, creamy and flaky",natural,white,"creamy, mild, salty",,,,"Fresh Anari, Dry Anari",
Anejo Enchilado,pasteurized cow's or goat's milk,Mexico,,,semi-hard,,,,crumbly and firm,,white,"salty, sharp, spicy, strong",strong, no ,Cacique,"Añejo, Queso Añejo",
Anneau du Vic-Bilh,unpasteurized goat's milk,France,Pyrenees-Atlantiques ,Cottage,"soft, artisan",,45%,,creamy and smooth,,white,"acidic, nutty, salty, smokey ","earthy, nutty, smokey", no ,,,
Anniversary Ale Cheddar,pasteurized cow's milk,United States,Northwest,Cheddar,"semi-hard, artisan",,,,dense and firm,,,"creamy, mild, sweet","floral, fruity",yes ,Rogue Creamery,,
Anster,unpasteurized cow's milk,Scotland,Fife,,"semi-hard, artisan",,,,crumbly and dry,,ivory,milky,"milky, rich",,St Andrews Farmhouse Cheese Company,Red Anster,
Anthotyro,unpasteurized goat's and sheep's milk,Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",,"hard, whey",,30%,318 mg/100g,crumbly,natural,white,"salty, tangy",strong, no ,CHRISTAKIS Greek Cheeses,"Anthotyro Fresco, Mizithra","Antotiro, Anthotiro"
Anthotyro Fresco,unpasteurized goat's and sheep's milk,Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",,"semi-soft, whey",,20%,318 mg/100g,creamy and smooth,rindless,white,sweet,,,,"Anthotiro, Fresh Anthotyro",
Aphrodite Haloumi ,pasteurized goat's and sheep's milk,Cyprus,"Nicosia, Cyprus",Pasta filata,"semi-soft, artisan, brined",,,,"chewy, creamy, elastic and firm",rindless,white,"lemony, salty, tangy",strong,,Cheese Slices,,
Appalachian,unpasteurized cow's milk,United States,Virginia,Tomme,"semi-soft, artisan",,,,firm,mold ripened ,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",,Meadow Creek Dairy ,,
Appenzeller,cow's milk,Switzerland,Appenzell ,,"hard, artisan, smear-ripened",,,,"firm, open and smooth",washed,straw,"fruity, spicy, tangy",mild, no ,,,"Appenzeller Extra, Appenzeller Surchoix, Appenzeller Classic"
Apple Walnut Smoked,pasteurized cow's milk,United States,Utah,Cheddar,"hard, artisan",,,,creamy and smooth,,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",yes ,Beehive Cheese Company,"Promontory Apple Walnut Smoked , Smoked Apple Walnut",
Appleby's Double Gloucester,unpasteurized cow's milk,"England, Great Britain and United Kingdom",Gloucestershire,,"hard, artisan",,54.23 g/100g,,"crumbly, dense, firm, flaky and smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",yes ,"Appleby's, Neal's Yard Dairy",,
Applewood,pasteurized cow's milk,"England, Great Britain and United Kingdom",Somerset,Cheddar,semi-hard,,,,crumbly and dense,natural,yellow,"smokey , spicy",smokey,yes ,Ilchester Cheese Company,Applewood smoked cheddar,
Applewood Smoked Chevre,pasteurized goat's milk,United States,Colorado,,"semi-soft, artisan",,,,"creamy, crumbly and firm",rindless,white,subtle,woody,yes ,Haystack Mountain Goat Dairy,,
Aragon,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,Aragon,,,,,,,,,,,yes ,GRUPO LA PARDINA,,
Ardi Gasna,unpasteurized sheep's milk,France,Midi-Pyrénées,,"hard, artisan",,45%,,firm and supple,washed,pale yellow,"mild, nutty, sharp",fresh, no ,,,
Ardrahan,pasteurized cow's milk,Ireland,Duhallow,,"semi-soft, brined",,25%,,chalky and smooth,washed,yellow,"acidic, buttery, nutty","earthy, pungent",yes ,Ardrahan Dairy Products Ltd.,,
Ardsallagh Hard Goat's Cheese,pasteurized goat's milk,Ireland,Carrigtwohill,,"semi-hard, artisan",,,,firm and smooth,natural,white,"nutty, salty, smooth",,yes ,Ardsallagh Goats Farm,,
Ardsallagh Smoked Cheese,pasteurized goat's milk,Ireland,Carrigtwohill,,"semi-hard, artisan",,,,firm and smooth,natural,white,"mild, nutty, smokey , sweet",,yes ,Ardsallagh Goats Farm,,
Ardsallagh Soft Goat's Cheese,,,Carrigtwohill,,,,,,,natural,white,,,yes ,Ardsallagh Goats Farm,,
Armenian String Cheese,"unpasteurized cow's, goat's or sheep's milk",Armenia and Syria,Middle East,,semi-soft,,,,"creamy, smooth and springy",,white,"buttery, nutty, sharp",nutty, no ,Sun-Ni Cheese,"jibneh mshallaleh, Syrian String Cheese",
Aromes au Gene de Marc,unpasteurized cow's and goat's milk,France,Rhône-Alpes ,,"semi-soft, artisan",,25%,,creamy and flaky,natural,white,strong,"fermented, pungent", no ,,,
Arådalen,unpasteurized cow's milk,Sweden,Oviken ,Blue,"soft, artisan, blue-veined",,34%,,creamy,mold ripened ,ivory,sweet,,,Oviken cheese,,
Ascutney Mountain,unpasteurized cow's milk,United States,Vermont,Swiss Cheese,"hard, artisan",,,,chewy and dense,natural,,"mild, nutty, sweet","herbal, sweet",yes ,Cobb Hill Farm,,
Asher Blue,unpasteurized cow's milk,United States,Georgia,Blue,"semi-soft, blue-veined",,,,creamy and crumbly,natural,straw,"grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",yes ,Sweet Grass Dairy,,
Ashley,pasteurized cow's milk,United States,Colorado,Brie,"soft, artisan, soft-ripened",,12%,,soft,ash coated,cream,"citrusy, mushroomy","clean, rich",,"MouCo Cheese Company, Inc.",,
Asiago,unpasteurized cow's milk,Italy,"Veneto, Trentino",,hard,,34-48%,,"compact, crumbly, open and smooth",natural,yellow,"full-flavored, mild, milky, sharp",pungent, no ,,,
Asiago d’Allevo,unpasteurized cow's milk,Italy,Veneto,,hard,,34%,,"crumbly, grainy and open",natural,pale yellow,"mild, sweet",nutty, no ,Caseificio Pennar Asiago,Mezzano,
Asiago Pressato,unpasteurized cow's milk,Italy,Veneto,,semi-soft,,48%,,creamy and smooth,natural,white,"salty, sweet, tangy",fresh, no ,Caseificio Pennar Asiago,Asiago Fresco,Pressato
Aspen Ash,pasteurized goat's milk,United States,Colorado,,"soft, soft-ripened",,,,creamy,ash coated,white,"acidic, creamy",earthy,yes ,Haystack Mountain Goat Dairy,,
Assa,pasteurized goat's milk,United States,"Tomales, California",,,,,,,natural,,,,,Tomales Farmstead Creamery,,
Aubisque Pyrenees,cow's and sheep's milk,France,Béarnaise in Pyrénées-Atlantique,,semi-hard,,,,smooth,natural,,"mild, smooth",, no ,,,
Aura,pasteurized cow's milk,Finland,Äänekoski,Blue,"semi-soft, blue-veined",,,,creamy,mold ripened ,pale yellow,"salty, sharp, strong, tangy",, no ,Valio,Auro Gold,
Austrian Alps cheese,pasteurized cow's milk,Switzerland,,,,,,,smooth,,,"nutty, spicy","aromatic, nutty, spicy", no ,,,
Autun,unpasteurized cow's and goat's milk,France,Burgundy,,"fresh soft, artisan",,40-45%,,creamy,rindless,white,acidic,, no ,,,
Avaxtskyr,cow's milk,Iceland,,,soft,,10%,,,,,,,yes ,,"Rjomaskyr, Skyr",
Avonlea Clothbound Cheddar,unpasteurized cow's milk,Canada,Prince Edward Island,Cheddar,"hard, artisan",,32%,,"creamy, crumbly and firm",cloth wrapped,straw,"fruity, mushroomy, savory",,yes ,COWS Inc.,,
Azeitao,unpasteurized sheep's milk,Portugal,"Setubal, Palmela and Sesimbra",,"semi-soft, artisan",,,,creamy and supple,washed,pale yellow,"buttery, herbaceous, milky, salty, sour, strong",,yes ,,Queijo de Azeitao,
Baby Brie,pasteurized cow's milk,France,,,soft,,,,creamy,bloomy,,"creamy, mild",aromatic, no ,Il De France,"Mini Brie,  Petit Brie",
Baby Swiss,pasteurized or unpasteurized cow's milk,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed",,43%,,"creamy, open and smooth",rindless,pale yellow,"nutty, sharp, sweet",, no ,Guggisberg Cheese,Lacy cheese,
Babybel,pasteurized cow's milk,France,,,semi-hard,,69%,,smooth,waxed,white,"salty, sweet",, no ,,,
Bad Axe,pasteurized sheep's milk,United States,Wisconsin,,"semi-hard, artisan",,,,"creamy, firm and smooth",waxed,white,"creamy, smooth, tart",fresh,yes ,Hidden Springs Company,,
Baguette Laonnaise,pasteurized cow's milk,France,Ile-de-France/Champagne,,"soft, artisan",,28.5%,,open and supple,washed,pale yellow,spicy,pungent, no ,,Baguette Lyonnaise,
Baita Friuli,unpasteurized cow's milk,Italy,Friuli-Venezia Giulia,,firm,,,,compact,natural,pale yellow,"fruity, spicy",rich, no ,,,
Baladi,"unpasteurized cow's, goat's and sheep's milk",Lebanon,,,"fresh soft, artisan",,22%,,"creamy, dense and smooth",rindless,white,"buttery, mild, salty, sweet",fresh, no ,La Fromagerie Polyethnique Inc,"Jibnah Baladi, Jibneh Khadra",
Balaton,cow's milk,Hungary,,,semi-hard,,,,,natural,yellow,"acidic, mild",, no ,,,
Balfour,sheep's milk,New Zealand,Queenstown ,,hard,,,,"crumbly, flaky and grainy",natural,,"nutty, sweet",, no ,The Gibbston Valley Cheese Company,Balfour Pecorino,
Baluchon,cow's milk,Canada,Quebec,,semi-soft,,28%,,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild", no ,Fromageries Jonathan,Le Baluchon,
Bandal,cow's milk,India,Kolkata,Cottage,"semi-soft, artisan",,,,crumbly,rindless,,"salty, smokey , strong",strong,yes ,,,Bandel
Banon,unpasteurized goat's milk,France,Banon,,"soft, artisan",,45%,,"creamy, smooth and sticky",leaf wrapped,white,"fruity, strong, woody",strong, no ,"Fromagerie de Banon, Fromagerie de Montéglin, Les Capitelles",,
Barambah Organics Marinated Feta,pasteurized cow's milk,Australia,Brisbane,Feta,fresh soft,,25.22 g/100g,,"creamy, crumbly and springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",yes ,Barambah Organics Pty Ltd.,,
Barber's 1833,pasteurized cow's milk,England,Somerset,Cheddar,"hard, artisan",,,,"creamy, crumbly and smooth",rindless,ivory,"savory, sweet",rich,yes ,AJ & RE Barber Ltd,"Barbers 1833 Cheddar , Barbers 1833 Vintage Reserve Cheddar",
Barberey,cow's milk,France,"Troyes , Aube",,soft,,20-30%,,dry and soft,natural,,"pungent, woody",mild, no ,,"cheese Troyes, ash trojan",
Barden Blue,unpasteurized cow's milk,United States,"West Pawlet, VT",Blue,"semi-hard, artisan, blue-veined",,,,"buttery, dense and open",natural,yellow,"mild, nutty, spicy, tangy","barnyardy, herbal", no ,Consider Bardwell Farm,,
Barely Buzzed,pasteurized cow's milk,United States,Utah,Cheddar,"hard, artisan",,,,creamy and smooth,natural,pale yellow,"butterscotch, caramel","aromatic, rich",yes ,Beehive Cheese Company,,
Barilotto ,pasteurized Buffalo's milk,Italy,Campania,Brie,"hard, soft-ripened",,,,firm,washed,pale yellow,"creamy, sharp","buttery, fresh", no ,Casa Madaio,,
Baron Bigod,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Bungay, Suffolk",Brie,"soft, artisan, soft-ripened",,,,"creamy, smooth, soft and soft-ripened",bloomy,yellow,"creamy, earthy, mushroomy","barnyardy, mushroom", no ,Fen Farm Dairy,,Baron Bigod Brie
Baronerosso di Capra,unpasteurized goat's milk,Italy,Veneto,,semi-hard,,,,crumbly and firm,washed,white,"full-flavored, sharp","fruity, musty", no ,La Casearia Carpenedo S.r.l.,,Baronerosso al Barbera
Barrel Aged Feta,pasteurized goat's and sheep's milk,Greece,Mt. Vikos,Feta,"soft, artisan",,11%,,creamy and crumbly,,white,creamy,rich, no ,Mt. Vikos,,
Barricato al Pepe,pasteurized cow's milk,Italy,Veneto,,"semi-hard, artisan",,,,crumbly,natural,ivory,"buttery, spicy",spicy,,"Forever Cheese, Moro Latteria di Moro Sergio",,
Barry's Bay Cheddar,cow's milk,New Zealand,Banks Peninsular in Canterbury,Cheddar,"hard, artisan",,,,creamy,cloth wrapped,,,, no ,Barry's Bay,,
Bartlett,unpasteurized sheep's milk,"England, Great Britain and United Kingdom",Somerset,,"soft, artisan",,,,dense and smooth,mold ripened ,white,"buttery, milky","aromatic, strong",yes ,"Neal's Yard Dairy, Wootton Organic Dairy",,
Basajo,unpasteurized sheep's milk,Italy,Veneto,Blue,"semi-soft, blue-veined",,,,creamy,natural,cream,"sharp, sweet, tangy","pronounced, rich", no ,La Casearia Carpenedo S.r.l.,,
Baserri,sheep's milk,United States,,Tomme,"semi-hard, artisan",,,,creamy and crumbly,,,"milky, tangy","milky, nutty",,"Barinaga Ranch, Inc.",Txiki,
Basils Original Rauchkäse,pasteurized cow's milk,Germany,,,semi-soft,,25.5%,700 mg/100g,"compact, dense and soft",natural,pale yellow,"salty, smokey , spicy",smokey, no ,Bergader Privatkäserei GmbH,Basil's Smoked Cheese,
Basing,unpasteurized goat's milk,United Kingdom,Kent,,hard,,,,crumbly,,,"herbaceous, smooth",,yes ,,,
Baskeriu,pasteurized sheep's milk,France,"French Basque Country, Midi-Pyrénées",,semi-soft,,50%,,dry and smooth,,,"buttery, nutty","buttery, nutty, rich",yes ,,,
Basket Cheese,pasteurized cow's milk,Middle East,,Cottage,"soft, semi-soft",,,,chewy and supple,rindless,white,"mild, salty",milky,yes ,"Specialty Cheese Company, Inc",,
Basket Molded Ricotta,pasteurized cow's milk,United States,Maine,Cottage,"fresh firm, whey",,,,crumbly and firm,natural,white,sweet,fresh,yes ,Lakin's Gorges Cheese LLC,,
Bassigny au porto,unpasteurized cow's milk,Belgium,,,semi-soft,,45%,,,washed,yellow,"acidic, buttery",aromatic, no ,,Langres,
Bath Blue,pasteurized cow's milk,"England, Great Britain and United Kingdom",Bath,Blue,"soft, artisan, blue-veined",,,,creamy and smooth,natural,cream,"creamy, strong",clean, no ,Bath Soft Cheese Ltd ,,
Bath Cheese,pasteurized cow's milk,England and United Kingdom,"Somerset, Bath",Brie,soft,,,,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, earthy, fresh, grassy",yes ,Bath Soft Cheese Ltd ,,Bath Soft
Batzos,pasteurized goat's or sheep's milk,Greece,"Central and Western Macedonia, Thessaly",,semi-hard,,20%,,dry,,white,"piquant, salty, sour, spicy",pleasant, no ,,,
