Name,Producer,Country,Region,Size,Weight,Website,Milk,Treatment,Classification,Rennet,Rind,Style,Flavor,Description
Berkshire Blue,Berkshire Cheese,United States,Massachusetts,4-5,3 lbs,www.berkshirecheese.com,Cow,Raw,FirmBlue,Vegetable,Natural,Blue,,"Berkshire Blue has been produced since 2000 in Berkshire County, MA. Cheesemaker Ira Gramble took over the production of the British Stilton-inspired cheese from Michael Miller in 2009. Since then, he’s continued to produce the Western MA classic in a process modeled after that of Willett Dairy in Somerset, England. The raw Jersey cow’s milk used for Berkshire Blue is sourced from nearby Hav’s farm in Tyringham, MA. Besides the truck used to transport the milk and the pump and heating and refrigeration equipment, no other machinery is used in producing the cheese. To make it, three starter cultures are added to the raw milk (two types of blue mold and one type of white), along with vegetable rennet. The curds are hand-stirred, hand-cut and hand-ladled into three-pound molds, then turned and poked with needles to allow blue veining to form during aging. After being brined, wheels are sent to a draining room where they’re turned periodically over two days. Finally, they spend between 30 and 40 days in the maturation room, and then 15 days in a cold room until the aging period of 60 days is complete.Using Jersey milk, famous for its high fat content, yields a cheese that is similar to a Stilton but that is even more smooth and creamy. Flavor is subtle with hints of barnyard and hay.Pair it with a Port, a Reisling or a Sauterne. For beer pairings, try a stout."
Berkswell,Ram Hall Farm/Berkswell Cheese Company,United Kingdom,West Midlands,"8 ins diameter,   4 ins high",3-4 kg,,Sheep,Raw,Firm,Animal,Natural,Cheddar-likeGrana / Grating cheese,,"With its mottled rind boasting rustic splotches of orange and white and its flying saucer-esque shape, this British sheep`s milk cheese is truly one of a kind. Dig into its paste for a complex, evolving burst of flavor yielding notes of pineapple and caramel. It`s made at a lovely 16th century house and farm called Ram Hall, located in the West Midlands region of England.The Fletcher family has lived on the farm for six generations. They began milking sheep in 1989 and selling the milk, and at the suggestion of a local farm shop they soon began to experiment with cheesemaking. Cheese had apparently been produced at Ram Hall in the past, as the Fletchers discovered when they stripped off some old paint and found the words ""Cheese Room"" underneath. However the recipe had been lost and so they began to make Berkswell using a Caerphilly formula, which evolved from there. Berkswell is made in small vats under the guidance of cheesemaker Julie Hay. Milk is heated, starter cultures and rennet are added, and the milk is left to ripen. The curd is then cut and re-heated before being put into the colanders that give the cheeses their distinct flying saucer shape.Wheels are matured for at least six months before release.Berkswell has a natural rind that is slightly chewy and rusty brown-red in color. It also bears the distinctive imprint of the colanders in which it is formed.The texture is firm and dense and slightly granular with an interior paste the color of pale butter.Flavors are concentrated, sweet and very complex, with tremendous length and finish. There are often notes of pineapple and caramel overlaid with a balanced tang.Pair it with an English cider or a pinot noir."
Bermuda Triangle,Cypress Grove Chevre,United States,California,"8 inches long, 2 inch sides",1lb,www.cypressgrovechevre.com,Goat,Pasteurised,Semi Soft,Vegetable,Mold Ripened,Soft-Ripened (Brie-like),,"Cypress Grove Chevre is located in Humboldt County in the temperate Pacific Northwest coastal region of California. The origins of the business began during the 1970’s when the company’s founder, Mary Keehn, became interested in Alpine dairy goats while searching for a healthy source of milk for her young daughters. This resulted in the acquisition of two goats and from this small start, she quickly developed a passionate interest in breeding high quality Alpine goats. Within a few years, the size of Mary’s herd increased significantly and, finding herself with excess goat milk, she started experimenting with cheesemaking. By 1983 and with the beginnings of a regular customer base, she officially founded Cypress Grove Chevre. At the time, commercial goat cheese production was virtually unheard of in the US and Mary, along with a handful of other goat cheesemakers, was one of the first to spearhead the movement. As Cypress Grove grew, the challenges of managing the goats in addition to the cheesemaking became insurmountable. Therefore, the decision was made to sell the goats to a number of local farms with the arrangement to buy back the milk. Each dairy still operates under an incentive program, ensuring that consistently high quality milk is supplied back to Cypress Grove for cheesemaking. This arrangement allowed Mary to fully focus on the cheesemaking and to take the company forward. Until the early 1990’s Cypress Grove focused on fresher styles of goat’s milk cheeses. However, the successful creation of Humboldt Fog in 1992, helped pave the way for several other American Originals. As the company grew and expanded, Mary was approached with many acquisition offers. However, none of the proposals seemed an appropriate fit until August 2010 when she received a proposal from Emmi, a Swiss company, majority-owned by a cooperative of small farmers and dairy operators. Emmi committed to keep the company’s employees and headquarters in Humboldt County as well as maintaining Cypress Grove’s long-standing commitments with the community, environment and milk suppliers. Bermuda Triangle was created in 1997 specifically with chefs in mind, since its triangular log format makes it ideal for slicing and provides interesting presentation on a cheese plate. For production of Bermuda Triangle, milk is pasteurized in a vat where cultures and coagulants are added and held for the acid ripening process. The mixture is then moved to a curd press where the whey is drained. The remaining curd is mixed with salt, hand-packed into cheese forms, ashed, and then sprayed with mold cultures. The cheeses spend eight days during primary ripening where they are turned daily after which they are “cold stabilized” for several more days before being wrapped and sent to market.When young, the interior paste of the cheese is chalky-white in color and has a smooth, dense and slightly crumbly texture. With age, the paste starts to break down under the rind, becoming softer, slightly translucent and ultimately runny. Flavors of Bermuda Triangle are earthy and piquant. When young, the cheese is clean, bright and peppery due to the high rind-to-paste ratio. As it matures, flavors intensify and and can become quite assertive."
Berner Oberlaender Holbelkaese,Christian Hauerter,Switzerland,Bern,"15 ins diameter, 4 inches high",20 lbs,www.qualitycheese.net,Cow,Raw,Hard,Animal,Natural,Alpine-style,,"One of only ten cheeses made in Switzerland with the AOC (name protected) designation, this version of Berner Oberlaender Hobelkaese is produced by cheesemaker Christian Hauerter at his dairy located 4900 ft above sea level, at Morgeten in the Swiss Canton of Bern. Christian Hauerter is a member of an Alp-Coop belonging to the community of Oberwil. The co-op consists of seven houses, one dairy and one restaurant all working together. The rules governing the production of Berner Oberlaender Hobelkaese are strict. Cheeses can only be made using raw cow’s milk from the Simmentaler breed during a period of about one hundred days during June, July and August, when the animals are grazing on the upper pastures of the Alps. These pastures contain certain varieties of herbs, flowers and grasses, all of which are essential to the character of the cheese. Hauerter`s herd grazes on the area known as “Leiternweide”, which literally translated means the ""ladder meadow"". Regarding the treatment of his cows, Christian Hauerter goes one step further than most producers. He’s convinced that cows that have not been de-horned (ie. are allowed to naturally grow their horns) are happier, more peaceful animals, who therefore produce better quality and more nutritious milk. Cheesemaking takes place in the small mountain huts adjacent to the pastures. This is also where the cheesemaker lives and sleeps while the cows are grazing on the upper slopes. This system ensures the cheesemaker uses the freshest milk possible and is also aware of the exact conditions under which the milk was produced – ie. what the animals have been eating, the weather conditions etc. Cheeses are made within eighteen hours of milking. The milk is heated and animal rennet added. At this point, the curd is heated again to 122?F in order to expel more whey, before the curds are transferred to molds and pressed. The finished wheels start their maturing process at the individual Alpine dairies while the families and the cheesemaker are still living on the upper slopes. At the end of the summer, when both humans and animals return to their lower farms, the cheeses are transferred to a cellar where they will continue maturing. During this time, cheeses are used both for the table as well as for cooking. After eighteen months of age, the cheese is used mostly for grating and cooking. This is also the point where cheeses are graded and some are are set aside for further aging into Hobelkaese. Maturation takes place at a temperature of 53-54?F and humidity of 70-75%. According to AOC rules, Hobelkaese (which means “grating cheese”) must be matured for between 2-3 years before release. The paste of Berner Oberlaender is hard and slightly waxy in texture and studded with white dots of crystalized amino acids that give the texture a pleasant crunch. The interior color is of pale straw in the center of the cheese becoming a darker golden towards the outside. Flavors are extremely rich, with notes of herbs, grasses, bacon and smoke. When shaved, the cheese forms itself into striking rolls or ""cigar"" shapes so is best used as a table cheese."
Bessie's Blend,Carr Valley Cheese Co,United States,Wisconsin,"8 ins diameter, 3 ins high",10 lbs,www.carrvalleycheese.com,GoatCow,,Semi Soft,Vegetable,Waxed,Alpine-style,,"Located in the rolling hills of central Wisconsin, Carr Valley Cheese remains one of Wisconsin`s most traditional cheese plants, famous for its Wisconsin cheddar varieties, as well as a host of more modern cheeses. Now owned and operated by Sid Cook, Carr Valley was founded in 1902, but the Cook family has been making cheese since 1883.  Sid is a fourth generation cheesemaker. The first cheese plant that his father operated was in Irish Valley, where Sid worked with his father for several years before taking over the business in the mid 70`s. During this time Sid also learned how to make his own cultures from his father and grandfather. He and his brother made Wisconsin-style cheddar at that location for ten years, and Sid eventually purchased Carr Valley in 1986 and another cheesemaking facility in 1991, with a layout that would allow for more flexibility and the development of more styles of cheese.  Carr Valley now sources cow`s milk from 40 farms, all located within 20 miles of the plant, and each milking no more than 70 cows. Sheep`s milk comes largely from one dairy and goat`s milk from a group of eight farms in the Green Bay area. Carr Valley makes over 65 different cheeses. Made from a blend of goat and cow’s milk, Bessie’s Blend is matured for four months prior to release for sale.A smooth, rich texture is characterisitic of this cheese. Flavors are mild and yet fairly complex with notes of almonds and cream.Good pairings include Pinot Gris, Cabernet and Reisling"
Bethmale / Couserans,Various,France,Pyrenees,"10-16 ins diameter, 3-4 ins high",10-12 lbs,,Cow,Raw,Semi Soft,Animal,Natural,Alpine-styleWashed-Rind,,"Produced in the village of the same name, Bethmale, also sometimes known as Tomme de Couserans, is the best known of the traditional cow`s milk cheeses from the Pyrénées. The village of Bethmale is located in the Couserans region of the Comté de Foix in south western France, and some of the best known examples of this cheese come from the cheesemakers at Jean Faup. Mention of Bethmale cheese dates back to the early 12th century, when Louis VI of France tasted it during a visit to the region. At the time, it was described as `the fat cheese of Saint-Girons`, a description that could still apply today since, when cut, the interior paste glows with fat and is distinctive for its horizontal slits. Milk for production of Bethmale comes from a large number of small local dairies. Milk is heated to 86°F, renneted and left to ripen for 45 minutes before being stirred for ten minutes. The whey is drained off and the curd cut by hand, then transferred into molds lined with thick cheesecloth. The first pressing of the cheese is done by hand and they are turned once, still within their molds. They are then pressed again by placing a heavy plank on top to expel more whey, which is left in place until the evening when the plank and cloths are removed. The next day, the wheels of Bethmale are salted on one side, followed by the other the day after. On the third day they are transferred to the maturing caves where they are aged for a minimum of four weeks, and usually eight. During this time they are regularly washed with a brine solution to encourage the growth of the Bacterium Linens mold that helps develop the cheese. The texture of Bethmale is semisoft, supple and yielding, and cheeses are covered with a dense beige rind. The interior paste varies from ivory-white through to buttery-yellow depending on the season, and is dotted with small holes and slits. Aromas are pleasantly pungent, smelling of damp cellar and earth. Flavors are mild, very rich, milky and buttery with notes of grass, wood and mushrooms."
Bianca,Hawthorne Valley Farm,United States,New York,"3 inches diameter, 1 inch high",6 oz,www.hawthornevalleyfarm.org,Cow,Pasteurised,Soft,Vegetable,Mold Ripened,Soft-Ripened (Brie-like),,"Hawthorne Valley Farm, a Rudolph Steiner community, sits on 400 acres in the small hamlet of Harlemville in New York’s Hudson Valley. As well as making several cheeses, the farm also produces and sells a range of food products including biodynamically-raised meat, fresh and lacto- fermented vegetables, fluid milk, yogurt and fresh baked goods. These are all sold either via their farm store or at their long- established booths at the Union Square Greenmarket in New York City and the Inwood Greenmarket. Hawthorne Valley Farm is also most notably an educational center of sustainable, organic and biodynamic farming. The farm’s dairy products are made from the milk of their own biodynamic certified cows. The cows on the farm are mixed breeds of Jersey and Brown Swiss with a few Holsteins. Bianca is one of the range of cheeses produced by Hawthorne Valley and was originally the creation of Abe Madey, the cheesemaker at the farm from 1999 to 2008. Peter Kindel, who took over the cheesemaking operation at Hawthorne Valley from Abe Madey in 2008, has taken the original recipe for Bianca and also introduced a mold- ripened version. Bianca is made from pasteurized, whole milk, in the style of a farmer’s cheese using microbial (vegetarian) rennet. Cheeses are aged for at least one week prior to their release. The texture of Bianca is dense, rich and yielding. Flavors are creamy, buttery and sweet, with distinct tangy notes. In addition to the original and mold-ripened versions of Bianca, it is also available with herbs as well as a smoked version."
Bierdeckel,Sepp Brülisauer,Switzerland,Canton Aargau,"4.5 ins diameter, 2.25 ins high",1 lb,www.rolfbeeler.ch/e-index.php,Cow,,Semi Soft,Animal,Washed,Washed-Rind,,"Produced in the village of Kuenten, about 10 miles outside Zurich in Switzerland, Bierdeckel is the product of an ongoing collaboration between cheesemaker Sepp Brüelisauer and Rolf Beeler, a highly acclaimed affineur (cheese maturer) and Master Cheesemonger. The late 1990’s saw the easing of extremely strict Swiss cheesemaking regulations. This meant that although some producers remain dedicated to making very traditional Swiss cheeses, many new and innovative cheesemakers also entered the market. Beeler, who has been affectionately dubbed by his peers as “Switzerland’s Pope of Cheese” owns a cheese shop in Lucerne dedicated to selling fine Swiss cheeses made by small-scale cheesemakers. His home town is located close to Kuenten and about 15 years ago, Beeler and Bruelisauer started working together - a partnership that has produced some very innovative cheeses that also maintain the spirit of Swiss cheesemaking tradition. In the late 1990’s, Beeler also formed a partnership with Caroline Hostettler, who was among the first to import quality artisanal Swiss cheese into the USA, thereby bringing Beeler’s cheeses to a wider audience. Rolf and Sepp’s inspiration for this Bierdeckel was to create something that texturally resembles a perfectly ripe Taleggio combined with the flavor and aroma of an Epoisses. Milk for production of Bierdeckel is sourced locally from herds of Red Swiss cows. Young cheeses are brined and lightly pressed before being matured in an aging cellar for four weeks. Bierdeckel, which literally translates as “beermat”, is washed in unfermented wheat beer during the maturing process. Bierdeckel has a very aromatic dark orange rind dotted with with dark brown flecks and an interior that is ivory to light yellow. The rind has a slightly granular texture that contrasts nicely with a pliant paste, often dotted with small “eyes” or holes.Bierdeckel’s flavor is a subtle reflection of its aroma which is tangy with a bit of salt. It has a perfume-like quality that lingers on the nose.The cheese is best paired with, not surprisingly, wheat beers. Bierdeckel is also a great cheese to pair with dry sparkling wines, or a fruit forward red wine such as Malbec. Recommended accompaniments include grainy mustard and cornichon, or a dark honey, such as one made from Buckwheat."
Big Boy Blue,Willapa Hills,United States,Washington,6.5 in diameter x 4.5 in height,5 lbs,www.willapahillscheese.com,Cow,Pasteurised,Semi Soft,Animal,Natural,Blue,,"Nestled on the banks of the Chehalis River in southwest Washington, Willapa Hills Farm is a mix of lowland pastures and timbered hills. Amy and Stephen Hueffed first started dreaming of a lifestyle change during an inspiring trip through Northern California, where they sampled local cheeses and pondered one day producing their own. A few years later in 2005, after taking Washington State University cheesemaking classes in Pullman and Skagit Valley, Amy and Stephen finally settled onto their farm with a flock of 60 dairy ewes. Since then Willapa Hills, now home to three generations of the Hueffed family, has continuously revised and expanded its activities and product line. The diverse mix of sheep’s milk, cow’s milk and mixed-milk cheeses is produced with a long-term commitment to sustainability: economic, environmental, and social. For example, the farm has switched over to growing all of its own hay, lowering costs of overall feed and ensuring that hay is natural and free of pesticides and commercial fertilizers. Stephen and Amy began producing this cheese in an effort to create the perfect blue. “You may already know that artisan cheesemakers are an idealistic bunch,” admits Stephen. Wheels are aged for at least two months before being packaged and adorned with a label featuring the pair’s two sons in kayaks. Along with their sister, who is featured on the Pluvius cheese label, the boys have served as an inspiration to their cheesemaking parents.This cheese has fresh, salty and vegetal aromas and lacks the astringency often found in other blue cheeses. Paste is humid, creamy and smooth in texture, while flavor is briny, packing a salty, mouth-puckering bite. Blue flavor is enjoyable, pungent without being offensive.Pair this cheese with something sweet to counteract the saltiness, such as a Moscato jam."
Big Ed's,Saxon Homestead Creamery,,Wisconsin,"11 ins diameter, 4 ins high",15lbs,www.saxoncreamery.com,Cow,Raw,Firm,Microbial,Washed,,,"Located just north of Milwaukee, close to the shores of Lake Michigan, Saxon Homestead Creamery was founded by Karl and Robert Klessig and their brother-in-law, Jerry Heimerl, in 2005. Having owned a traditional dairy farm on the site for many years, the brothers wanted to adapt their method of farming to allow for their cows to range freely on pasture. It was also their vision to use milk from their own herd to develop a cheesemaking facility on site. This they have achieved, and Saxon Homestead Creamery makes a range of cow`s milk cheeses such as Greenfields, Big Ed`s, Pastures, Saxony and Meadows. To add to their repertoire, Saxon is also collaborating with nearby LaClare Farm. Owned by Larry Hedrich, LaClare is a small-scale goat dairy with extremely high milk quality standards. The does have room to exercise and graze on pasture, and are fed whole grains and other foods that goats love. Made to the recipe of a mountain-style cheese, Big Ed`s is a cooked, pressed cheese made from raw cow`s milk and weighing in at about 15lbs. The rind is smooth, thin and golden-brown in color, imprinted with the Saxon logo. The texture of Big Ed`s is dense and smooth and ivory in color. Aromas are clean and mild. Flavors are mild, rich, milky and clean with notes of brown butter and caramel."
Big John's Cajun,Beehive Cheese Company,United States,Utah,"12-14 ins diameter, 3 ins high",18 lbs,www.beehivecheese.com,Cow,Pasteurised,Firm,Microbial,Flavored,,,"Founded in 2005 by brothers-in-law Tim Welsh and Pat Ford, Beehive Cheese Company is located at the mouth of the Weber Canyon near Uintah in UT - about half an hour north of Salt Lake City. They are one of the few artisanal cheesemakers in Utah. Having previously worked in the worlds of software and real estate, both men harbored a belief in revitalizing the concept of the local creamery. With the help of The Western Dairy Center at Utah State University, they began to turn their vision into reality. Pat and Tim built the family owned and operated creamery from the ground up. Jersey cow’s milk, known for its high butterfat content, is sourced from Wadeland South Dairy, located about 10 miles from the creamery. The milk arrives from Wadeland at about midnight when it’s just a few hours old. Cheesemaking begins almost immemdiately, starting with pasteurization and the addition of starter cultures. After being left to ‘ripen’, microbial rennet is added to coagulate the milk, which is then hand cut. The excess whey is drained off and the remaining curds are “cheddared” to achieve the right moisture and pH level before being put through a mill and finally transferred into molds for pressing. Named after local chef John Dearmin, Big John’s Cajun was developed after the chef showed up one day with a bag of Cajun meat “rub” and suggesting it could be used for the cheese. Unlike a typical Cajun rub, John’s version uses cayenne pepper instead of paprika. At one day old, wheels have a light application of canola oil wiped on them, just to the point where the surface becomes tacky. Then the rub is smeared on with one motion since, according to Pat Ford, “if its worked too much it becomes a mess - rather like pottery”.Big John’s Cajun is ideal for cooking as the spiciness of the rub balances well with the rich, smooth and melty texture of the cheese. Near the rind, flavors intensify and pack a considerable punch.This cheese works really well as an ingredient in mac & cheese, chicken focaccia with avocado, shaved on a salad or melted over a burger. Beverage pairings include Champagne, sweet non-fortified white wines, lagers and ales."
Big Rock Blue,Central Coast Creamery,United States,California,7.25 in diameter x 4 in height,5 lbs,www.centralcoastcreamery.com,Cow,Pasteurised,Firm,Vegetable,None,Blue,,"After working for years in product development and quality control in industrial cheese production settings, cheesemaker Reggie Jones finally decided to branch off on his own and pursue small-scale artisanal production, founding Central Coast Creamery in Paso Robles, CA in 2008. Today he specializes in producing aged cheeses that are handmade in small batches using local California milk and organic ingredients. Big Rock Blue is made with organic cow’s milk. By pressing the newly formed wheels only very lightly, Reggie helps the cheese to maintain a texture reminiscent of fudge. And piercing holes into the wheels allows Penicillium Roqueforti to form during the cheese’s aging period of three months.When ready for sale, Big Rock Blue is dense and crumbly with a seaweed-green veining. Initial aromas are reminiscent of sour cream and citrus, which give way to a creaminess that coats the palate, hints of fresh butter and salty bacon, and a characteristic blue-cheese bite that lingers.Pair it with a porter."
Big Woods Blue,Shepherd's Way Farms,United States,Minnesota,"8 ins diameter, 4 ins high",6-7 lbs,www.shepherdswayfarms.com,Sheep,,FirmBlue,Vegetable,Natural,Blue,,"Located in south eastern Minnesota, Shepherd`s Way Farms is owned by Steven Read & Judi Ohlsen. Together with their four sons, Steven and Judy have worked tirelessly to develop the farm as a sheep dairy and cheesemaking operation, producing their first cheese, Friesago, in 1998. Other cheeses have also followed: Queso Fresco de Oveja, and Big Woods Blue, together with Hidden Falls, Harmand, and a traditional Ricotta that are available on a limited basis. The sheep at Shepherd`s Way are almost entirely Friesian crosses and are rotationally grazed on home pasture. Against this backdrop, in January of 2005 the Read family suffered a devastating tragedy when a large-scale fire destroyed two barns containing two thirds of their 550 milking ewe flock, and their entire crop of 200 new lambs. Rather than giving up, the Reads decided to try and rebuild their lives and their business, which they are now doing with the help of friends and supporters. They are utterly committed to the project and are now in a position where they are able to produce their cheeses once more. In 2007, Jodi was able to re-commence cheesemaking and they are starting to sell more cheese as it becomes available. The interior paste of Big Woods Blue is an ivory color, shot through with pale blue-green veins that are more concentrated towards the center of the cheese. Flavors are assertively spicy, peppery and tangy but are held in check by naturally sweet notes of the sheep`s milk."
Bijou,Vermont Creamery,United States,Vermont,"1.5 in. diameter, 2 in. high",2 oz,www.vermontcreamery.com,Goat,Pasteurised,Soft,Microbial,Mold RipenedGeotricum,Soft-Ripened (Brie-like),,"Founded in 1984 by Allison Hooper and Bob Reese, Vermont Creamery is located near Websterville, Vermont. Having spent time with a small-scale cheesemaker in Brittany during the 1970s, Allison was working as a state dairy lab technician in Vermont when she responded to a request from Bob Reese to produce some fresh chèvre for a state dinner. At the time, Bob was employed as marketing director for the Vermont Department of Agriculture. The chèvre was a hit and after some experimentation, Bob and Allison decided to go into production on a more formal basis, founding Vermont Creamery. Milk for cheese production comes from twenty-one family farms in Vermont, New Hampshire, New York and Quebec. Each farm has an average herd size of approximately 150 goats. Vermont Creamerymakes a variety of fresh and young style cheeses and cultured dairy products, many of which are based on French recipes. They also make an outstanding cultured butter. Cheeses are made from either goat`s or cow`s milk. Meaning ""jewel"" in French, Bijou is one of Vermont Creamery`s smallest cheeses and is made from pasteurized goat`s milk. After culturing, the milk is allowed to ripen for twenty-four hours before the curd is drained overnight in cheesecloth. The following day, the young Bijou is formed and transferred to a drying room for twenty-four hours, before being moved again to the main maturing room. There, the cheeses develop their Geotrichum candidum rind that develops their distinctive character.Flavors are clean, milky, and sweet with rich, balanced notes of grass and hay.The rind of Bijou is delicate, thin, slightly wrinkly, and a pale cream color, whilethe texture of the pasteis moist, dense, and crumbly in the center, becoming soft and smooth just under the rind as the cheeses mature."
Billy Blue,Carr Valley Cheese Co,United States,Wisconsin,"4 inches high,  7 inches diameter",6 lbs,www.carrvalleycheese.com,Goat,,FirmBlue,Vegetable,None,Blue,,"Located in the rolling hills of central Wisconsin, Carr Valley Cheese remains one of Wisconsin`s most traditional cheese plants, famous for its Wisconsin cheddar varieties, as well as a host of more modern cheeses. Now owned and operated by Sid Cook, Carr Valley was founded in 1902, but the Cook family has been making cheese since 1883.  Sid is a fourth generation cheesemaker. The first cheese plant that his father operated was in Irish Valley, where Sid worked with his father for several years before taking over the business in the mid 70`s. During this time Sid also learned how to make his own cultures from his father and grandfather. He and his brother made Wisconsin-style cheddar at that location for ten years, and Sid eventually purchased Carr Valley in 1986 and another cheesemaking facility in 1991, with a layout that would allow for more flexibility and the development of more styles of cheese.  Carr Valley now sources cow`s milk from 40 farms, all located within 20 miles of the plant, and each milking no more than 70 cows. Sheep`s milk comes largely from one dairy and goat`s milk from a group of eight farms in the Green Bay area. Carr Valley makes over 100 different cheeses. Made from local goat`s milk, Billy Blue is a blue cheese aged for a minimum of four months before release. The ivory-colored paste is shot through with pockets and veins of blue that produce a slightly crumbly texture.Flavors are fresh, tangy and assertive yet balanced by the savory notes of the goat`s milk."
Black and Bleu,Winter Park Dairy,United States,Florida,"4” tall, 8” diameter",4-5 lbs,www.winterparkdairy.com,Cow,Raw,Firm,Microbial,Natural,,,"Owned and operated by the Green family for 4 generations, Winter Park Dairy was originally a citrus farm located on Lake Florence in central Florida. However, the frosts of the mid-1980’s destroyed many of the family’s citrus trees. The current generation of Greens, David and his wife Dawn, founded Winter Park Dairy in 2001 as a measure to keep the farm going. In the beginning, Winter Park had its own closed herd of Jersey cows. Now though, the milk for the dairy comes from local family dairies. In 2008, Winter Park was the first dairy to be licensed as a raw milk cheese-making facility by the USDA/State of Florida. The cheeses produced at Winter Park are all hand made. The process begins with a water-heated vat imported from Holland that gradually brings the milk up to 90° F. Microbial rennet that the dairy imports from France is then added to the milk and stirred in by hand. The curd is formed, cut, hooped and then aged for a minimum of 60 days as required by U.S. federal law for all raw milk cheeses. The unique recipe for Black and Bleu was given to the Green family by a South Asian cheesemaker friend, Rose. The black in Black & Bleu is from black peppercorns that are cracked and roasted before being added to the cheese curds.When combined with the blue mold in the cheese, it makes for a powerful flavor that is rich and tangy with the spice of the peppercorns. It has a light grey natural rind with pale yellow paste streaked with blue veins and large eyes sparsely dotted throughout. The blue mold covers the interior of each eye, making them look like the inside of geode. There are small specks of black peppercorn sprinkled throughout the paste as well.This cheese works particularly well melted onto steaks. It pairs well with bold red wines such as Cabernet Sauvignon, Super Tuscans or Spanish wines such as Temperanillo."
Black & Blue,FireFly Farms,United States,Maryland,"6-7 ins diameter, 3 ins high",5 lbs,www.fireflyfarms.com,Goat,Pasteurised,Firm,Microbial,Waxed,Blue,,"Founded in 2002, FireFly Farms is owned by Mike Koch and Pablo Solanet and produces a range of cheeses made from goat’s milk. The partners’ original creamery was located in a neighbor’s converted barn, adjacent to the herd of milking does. After a few years, the company soon started to outgrow the premises and Koch and Solanet began searching for a new location in 2008. One year later premises were acquired in Accident, Maryland, in a historic building that was formerly a machine shop. Over the course of three years the building was converted, and is now home to the creamery as well as FireFly Farms’ flagship retail store. The store allows plenty of interaction between customers and the cheese business as well as being an attraction to visitors in Garrett County. The original herd of milking does was sold in 2006. FireFly Farms now sources goat milk from six local farms, each located within 20 miles of the creamery. Cheesemaking operations are managed by Matt Cedro together with Head Cheesemaker Dan Porter. FireFly makes a variety of both younger and more aged cheeses that have won numerous awards at national competitions. Their cheeses are produced from pasteurized milk since Maryland regulations require this. FireFly Farms` Black & Blue was developed in early spring 2007. The intent was to develop a longer-aged blue cheese with complex flavors. The outer casing of black wax allows moisture to be retained during aging as well as to provide a contrast to the white and blue interior. Early versions of the cheese were introduced at farmer’s markets, and after an enthusiastic reception, FireFly went into full production with the Black & Blue. During their maturation, cheeses are pierced to allow the blue veining to develop. At about five weeks of age, wheels are waxed and matured for a further three months before release. The intent is to be able to mature cheeses for up to nine months of age, when the flavors become even more complex. However, consumer demand together with limited aging space currently dictates the four month release date. Black and Blue is made during eight months of the year.The interior of Black & Blue is semi-soft with an ivory-colored paste marbled with dark blue-green veins. Flavors are buttery, rich and complex with distinct but balanced notes of blue and salt.Good beverage pairings include meaty red wines such as Petite Bordeaux, Malbec and port or, at the other end of the scale, riesling."
Black Goat,Prairie Fruits Farm,United States,Illinois,"¾” tall, 3” diameter",5 oz,www.prairiefruits.com,Goat,,Soft,Animal,Ash coated,Soft-Ripened (Brie-like),,"Prairie Fruits Farm was founded in 2003 by the husband and wife team of Wes Jarrell and Leslie Cooperband, who left academic and urban lives in Madison, WI to run a farm in Champaign Urbana, IL. With a focus on organic and sustainable farming, Wes and Leslie set about restoring the 7-acre farm’s soils that had been previously used for cash grain crops. A task that in 2004 led them to plant 350 fruit trees, 600 berry plants, and the purchase of their first Nubian goats. In 2005, they were licensed as a Grade A goat dairy and farmstead creamery. Since then, Wes and Leslie have grown the farm to more than 40 acres and expanded their goat herd to around 70 milking does of both the Nubian and La Mancha breeds. While the couple uses milk from their own herd, they also purchase sheep’s milk from the only licensed sheep dairy in the state. With the goat and sheep’s milk cheeses that Prairie Fruits Farm produces, they are dedicated to highlighting the terroir of Central Illinois. Named after a particularly precocious and endearing baby goat born on Prairie Fruits Farm, Black Goat is a small puck of hand-ladled goat cheese. The day after the curd is ladled into its mold and it has drained, each newly formed cheese is coated with a mixture of salt and vegetable ash. Cheese are aged for 3 weeks before release and during this time, each round develops a rind comprised of geotrichum mold.The result is a cheese with a chalky and dense, but still mousse-like texture. It has a bright lemon-like tang with a touch of sour cream behind. On the finish, Black Goat has a fresh grassy character with gentle yeasty notes.Black Goat is best paired with a dry white wine such as a Sauvignon Blanc. For those who prefer beer, Belgian Style Ales are the best, and Dry Hard Cider is still another alternative that is lovely with this cheese."
