Name,Milk,Region,Description
Bobolink Foret,cow/r,"NJ, US","Cheesemaker Jonathan White in Vernon, NJ  is committed to sustainable farming. Using only raw grass fed milk from the Bobolink farm, this cheddar is washed with ""La Foret"" Belgian farmhouse ale which transforms the ripening process and gives the cheese great complexity. From their website: ""The alcohol and hops from the ale supress the growth of molds on the rind, and then the terroir yeasts from the ale colonize the cheese, giving it a sweet, delicate, faintly fruity note, with perhaps a just hint of hops."""
Bocconcino di pura capra,goat,IT,Small button of goat's milk cheese from Caseificio dell'Alta Langhe.
Bondon à la Fleur de Sel,goat,FR,From Poitou-Charentes. Resembles Chabichou. A round tower - ash coated. With a white chalky firm center. Delicious - very balanced. Enhanced with Fleur de Sel.
Bonne Buche,goat,"VT, US","From Vermont Butter & Cheese. Ash ripened goat cheese. It's hand ladled, and first introduced in 2001.  “Bonne Bouche” literally means “good mouthful” and is a French term used to describe a tasty morsel.  it can be enjoyed fresh or aged up to 45 days. It's a soft cheese and has good acids with notes of flowers and hazelnuts reminescent of yet fresh chevre.  Aged it becomes softer and runnier and the flavor of the rind comes more into play giving it earthier elements."
Bosina Robiola,c-s,IT,From Alta Langhe. This square cheese is creamy and subtley tastes of wild mushrooms.  (also see Robiola Bosina)
Bourboule,cow/r,FR,From Pascal Beillevaire
Bourguignon,cow/p,FR,Chantal Plasse. Bloomy rind small cow's milk cheese. Mild creamy and mushroomy. See Chaource Bourguignon.
Bra Tenero,sheep,IT,"From Piedmonte. Soft and tender, with a white elastic pâté. Bra Tenero has a flavor is very fragrant and creamy."
Brandywine,goat,"ID, US","From Parma, ID. Rollingstone aged Chevre wrapped in grape leaf. An unusual fruity flavor. Didn't quite like it."
Brebiou,sheep,FR,"From the Basque. Mound-shaped wheel with a thick interior under the rind that will become runny with age. Sweet, mild milky flavor with a slight savory bite to it"
Brebis du Lavort,sheep/r,FR,From Pascal Beillevaire
Brebis du Lochois,sheep,FR,Made in central France (Loire) where goat's milk cheeses are traditionally made. A has a firm gray-blue rind natural rind with a velvety smooth paste inside. It's a semi-soft cheese with delicate flavors of grass and flowers.
Brescianella Stagionata,cow,IT,"Jack's new favorite May, 2005. Similar but superior to Taleggio. Imported by Fresca Italia."
Brescianella Stagionata di Aquavita,cow,IT,Brescianella aged for 2-3 months and coated with grape pomace giving it a fruity dimension.
Brezouard aux Herbes,cow/r,FR,"From Alsace-Lorraine. We loved this cheese. It has a stinky element but is semi-hard with herbes rolled in - they enhance the flavor rather than ""are"" the flavor. Try again!"
Bridgid's Abbey,cow,"CT, US",From Cato Corner. A trappist-style cheese which is smooth and creamy with a mild flavor. Very meltable.
Brie de Meaux,cow,FR,The quintessential brie. A high fat soft white mold cheese with notes of hazelnuts and fruit. Buttery texture. Great with champagne.
Brigno de Flanders,cow,FR,A vegetable dyed washed rind (the pate is the same orange color as is the rind). A strong smelling cheese reminiscent of Taleggio but softer and creamier - and firmer.
Brillat Savarin w/truffles,cow,FR,The classic triple cream with the additional of truffles. Sexy and decadent.
Brin D'Amour,sheep,FR,"From Corsica. Also called Fleur de Maquis - it's natural rind is covered with rosemary thyme, coriander seeds and other herbs that are found on the island. It is an uncooked and unpressed cheese"
Brother Laurent,cow/r,"VT, US","Boucher Family Farm. A washed rind raw milk artisan cheese made from milk of their herd of Holstein, Normandy and Jersey cows. Aged 60 days. A cross between St. Paulin and Livarot."
Brunet,goat,IT,From the Langhe. A soft white bloomy rind cheese with mild salty flavor.
Bubalus Bubali,wbuff,"CA, US","Fresh Water Buffalo Mozzarella from Gardena, CA. They are the only US producer of water buffalo cheese."
Burrata,cow/p,IT,This one from Caseificio Voglia di Latte.
C2,cow,AUST,Made by Bruny Island Cheese Co in Australia. Cooked curd cheese matured for 6-12 months. A mildly nutty flavor and slightly flakey texture. Reminescent of Cheddar.
Cabecou,goat,FR,From the Perigord. Wrapped in leaves made by Bernard Soreda in Perigord
Cabecou Feuille,goat,FR,A small goat's cheese topped with cracked pepper and wrapped in fragrant chestnut leaves.
Cabra Al Romero,goat,SP,Coated in dried rosemary which gives the cheese a rosemary zing.
Cacetto al Raboso,cow,IT,Washed in Raboso wine giving it a burgundy violet rind and the nutty pineapple flavor.
Caciotta al Rosmarino,sheep/R,IT,"From Tuscany. The same cheese as Pecorino but from outside the area where it can be legally called ""Pecorino"". It has rosemary added to it. We really liked it."
Caciotta al Rosmarino,cow,"CA, US",From Borelli Lattinici in Fresno. A fresh whole milk farmer’s cheese flavored with rosemary and packed in brine.
Caciotta al Timo,sheep/R,IT,"From Tuscany. The same cheese as Pecorino but from outside the area where it can be legally called ""Pecorino"". It has thyme added to it. We like this one even better than the rosemary one."
Caciotta del Lazio,sheep,IT,From Rome. Imported by Mitica. A softer mild flavored cheese. Did not like.
Caerphilly,cow,Wales,A hard cheese with a light almost white pate. It has a mild flavor but is very salty.
Calabrese,c/g/s,SP,Three-milk cheese from Asturias Spain with blue veins.
Camembert,cow,FR,Isigny St. Mere's version of the white molded soft Normandy cheese. High butterfat give it a creamy texture as it ages. Young cheeses are almost chalky in the center.
Capri Log,goat,"MA, US","Westfield Farm Fresh Chevre made in Hubbardson, MA."
Capricious,goat,"CA, US",From Petaluma. Semi-firm salty mildly goaty cheese with an appealing tang. Aged 3 months.
Caprino Noce,g-s/r,IT,A soft rind-less cheese. Made by Gianni Cora. Wrapped in chestnut leaves
Cardona - Cocoa,goat,"WI, US","Cocoa covered goat.  From Carr Valley.Aged for more than 8 months. It has a firmer texture, sweet, with a slight nutty flavor. Rubbed with cocoa powder the rind is brown and the cocoa flavor adds an interesting subtlety."
Carre de Berry,goat,FR,From the Berry region of the Loire. A thick square of Fresh Herbed Chevre. Tangy with aromatic herbs and juniper berries. Yum!
Carrigaline Farmhouse Cheese,cow,IRE,A farmhouse cheese (which can be flavored with garlic and herb) made in Co. Cork by the O'Farrells from Freisian cows milk. Similar in taste and texture to Havarti. Melts wonderfully and works well in sandwiches also.
Celtic Promise,cow,Wales,"One of Jack’s 3 or 4 favorites. A firm washed-rind raw milk cheese. Really tasty and pretty approachable. Made by John & Patrice Savage in Onstwedder from James Aldridge’s recipe. It won Supreme Champion at the 1998 adnd 2005 British Cheese Awards. We have yet to try it with cider, a recommended pairing."
Cendré du Beauzac,cow/r,FR,"From Haute-Loire, Auvergne. Ashy exterior. Semi-soft white pate with little holes and veins (almost little pockets) of blue mold. Very mild flavor."
Centovalli,cow,CH,From Rolf Beeler. Firm dense cheese with a dry finish but not crumbly. Strong flavor. Pair with white wines.
Chabichou du Poitou,goat,FR,A soft white mold covered cylinder-shaped cheese with a delicate nutty flavor. It has some sweetness and salt The paste becomes harder and more brittle when the cheese ages and the white rind can have blue mold on it.
Chablis Chalencay,cow,FR,Tasted like the warm animal it came from and was slightly soft. Can't find out anything about it - but I suspect Chalencay where it's made.
Chabriou,goat,FR,Made by Onetik. A Basque Cheese. A pressed aged goat cheese. 100% goat.
Chambord,goat/r,FR,From Pascal Beillevaire
Chanco,cow/p,ECU,"The first cheese we’ve had from Ecuador made by Agricola Pucuhuaico Dairy in Ibarra. Imported by Doralice Imports. It has a natural rind covered by a thin layer of wax. A semi-hard cheese. Tangy with a very bitter finish,"
Chaource,cow,FR,AOC. A Fermier and Artisan cheese with a sharp bitter taste like blue cheese. Joanne didn't like the white rind. It is made at the same farm where the milk comes from.
Chaource Bourguignon,cow,FR,"See also ""Bourguignon"""
Chaubier,c-g,FR,"Meltable middle of the road pressed cheese with an orange rind. Semi hard. Good flavor but not too pungent. Good for sandwiches, eggs etc."
Chevre,goat,"CA, US",From Yerba Buena Goat Dairy (now owned by Bodega Goat). Fresh goat chevre with a nice mineral element to the flavor.
Chistou,c-s,FR,Made by Istara or Lactalis International - we've had both. From the Basque. The ivory soft paste is reminescent of Ossau-Iraty or Petit Basque. Very approachable and likable.
Ciambellina Aromatica,cow,IT,From Piedmonte. Raw milk cheese spiced with hot paprika and drizzled with Olive Oil.
Cimonino,cow,IT,"Semistagionato Valsassina from Lombardy. Surprisingly intense, almost reminiscent of a goat’s milk cheese. The small roll of cheese has a moldy rind, while the creamy, lush texture offsets the strong saltiness. Flavor is almost mushroomy - like roasted mushrooms with lots of salt."
Cirrus,cow/p,"WA, US",Mt. Townsend Creamery's take on Camembert
"Clarines, Fromagerie",cow,FR,From the Franche-Comte. Soft runny cheese similar to Vacherin although a little milder. You can spoon it out of the box (it comes in a box) after you let it sit out for a while. Really creamy. Also called La Clarines or LaClarines.
Clisson,goat,FR,From the Aquitaine region. The Tome cheeses are washed with sauternes during the aging process. The final semi-soft cheese has a orangeish rind and is cream colored with a delicate flavor. Very approachable and slightly salty.
Comte - reservation fruite montange 2000-,cow,FR,"AOC. A really large wheel of cheese. There are over 200 producers that Jean d'Alos buys from - 3 near Geneva. Harder cheese, golden with dark brown rind aged 1-2 years. Never eat the rind. One of Jack's faves."
Comte (badoz tunnel reserve),cow,FR,An aged Comte. Look for it! From the Jura region.
Comté (Comte),cow,FR,From Jura. You want the best aged and longest aged Comte you can find. More than likely that will be 1 – 1.5 years old. Look for 18 month old. Comte is better than the best Gruyere you can imagine.
Comte Reserve de Chalet,cow/R,FR,This is aged Comte. This is what you are wishing for.
Cone de Port Aubry,goat/r,FR,Herve Mons.  An amazingly complex cheese of raw goat's milk.
Coolea,cow,IRL,Neal’s Yard. Made by the Willems in Macroom Co Cork. A gouda- like Irish cheese a little richer and fruiter than dutch goudas.
Cooleeney,c/R&P,IRL,A brie/camembert style cheese with some runniness at room temperature.
Cornish Yarg with Nettles,cow,UK,"A golden yellow semi-hard cheese slightly crumbly in the core. A slightly tangy taste with a mushroomy flavor. Handmade the cheese is wrapped in local nettle leaves after pressing and brining. The rind has shades of white, green, grey and blue mold. Try with Boddingtons."
Cotswold,cow,ENG,Joanne’s breakfast cheese  the staple of a ploughman’s lunch. A mild cheddar  (it’s double Gloucester) with onions and chives. Try it in scrambled eggs or with roast beef in a sandwich. Great with pickles. Yum.
Coulommiers,cow,FR,"Made near Camembert. Soft-ripened cheese. Beneath its bloomy, edible white rind it has an extra-rich, creamy body and strong flavor"
Crater Lake,cow,"OR, US","From Central Point, OR. Made by Rogue Creamery. Aged 9 months. Salty medium blue flavor."
Cravanzina Robiola,c-s,IT,"Comes from Alta Langhe region near Asti in the southern Piedmont. It is a round, soft-ripened cheese, produced by hand from local milk. Best described as savory its texture is creamy beneath a thin, supple crust. Always serve this cheese at room. Unbeliveable matched with Maggie Beer's Blood Plum Paste."
Cravot,cow,IT,A firm cheese with a brown crust - usually made from alpine goats or mixed goat/cow milk this one I believe was all cow. Buttery flavor with a hint of sharpness and a dry texture.  This one was an aged variety - Stagionata.
Crecenza,cow,"CA, US","A soft-ripened meltable cheese from Bellwether Dairy with no rind and which is spreadable. Made in traditional Italian square shapes, each cheese is one-inch thick, and weighs two to three pounds. Amazing melted with asparagus and morels."
Crockhamdale,sheep/R,UK,"Neal's Yard. Cheesemaker Victoria Tagg of Hurst Farm, in Crockham Hill in Kent."
Crucolo,cow,IT,"From the Trentino region of Northern Italy. The pate is pale yellow, and  is rich and creamy with a definite acidity and tang."
D’Affinois,cow,FR,A triple cream which is our local grocery stores in Northen California Wine Country best selling cheese. It’s am industrial cheese. It’s a bit sweet and very creamy. It needs to be soft and runny to really show it’s colors but Joanne likes it a bit firmer and less aged. We don’t buy it any more as we are now onto Affidelice. Great for a party of non-fancy cheese people. I guarantee someone will ask you about it.
Daisy Cheddar,cow,"CA, US",From Vella Cheese. Medim white cheddar cheese.
Devon Oke,cow/R,ENG,Made by Curworthy Cheese in Devon by Rachel Stevens to a 17th century recipe. It is a creamy (soft) textured cheese. Not that notable in flavor.
Doddington,cow,ENG,"Neal's Yard. Cheesemaker Maggie Maxwell at Doddington Dairy near Alnwick, Northumberland makes this hard raw cow's milk cheese."
Dunbarra,cow/P,IRL,A soft cheese with brie and camembert-style characteristics with a bloomy rind.
Dunbarra with Garlic & Dill,cow/P,IRL,A subtlely flavored brie style cheese.
Durrus,cow/R,IRL,Neal's Yard. Made by Jeffa Gill on Sheep's Head Island.
Edel D'Cleron,cow,FR,"A washed-rind cheese made from a Vacherin recipe, but pasteurized. Available all year round, it is known as Faux Vacherin, as its creamy, almost runny texture is identical to the real thing. It is made in the Jura mountains."
Eldgennossen Kase,cow/r,CH,A Caroline Hostettler Selection. From one of the smallest dairies in Switzerland. Aged 5-6 months. Creamy and sweet.
Epoisses,cow,FR,Made by Berthaudt in Burgundy. A washed rind cheese – washed in marc de Bourgogne. It’s more pungent and more of everything than Affidelice but takes a stout nose and a cheese afficiando to appreciate. Look for round wooden boxed. Buy it whole and press the center lightly - it should be soft in the center. You want one that doesn’t look old (past its prime) but doesn’t look perfect. You want to see some age on the rind to indicate it’s ripeness. Probably Jack's favorite cheese. Joanne likes it young when it is more like Affidelice – which is called Epoisses Frais (fresh). “The king of Cheese.”
Erhaki,sheep/p,FR,Pressed uncooked cheese. Also called Erhaki Tommette from Fromagerie Jean Faup in the mid-pyrenees.
Etorki,sheep,FR,Semi-hard pressed cheese. Made from the milk of Manech sheep in the Basque region from Dec to July. As it ages 3-6 months it is brine soaked but in the end has a hard rind. Delicious fresh nutty flavor with a hint of olives. Definitely high in butterfat it has a creamy taste. Joanne *loved* it. Similar to Ossau-Iraty but not Artisan-made or AOC. Still it is hand-formed.
Evangeline,goat,"AR, US","This is a John Folse aged triple crème goat cheese. Named after Wadsworth poem, the snow white cheese is a tribute to her virtue. www.jfolse.com"
Everona - Piedmont,sheep/R,"VA, US","Made by Dr. Pat Elliott in Rapidan VA. Her Piedmont-style cheese is nutty with notes of flowers and a buttery element. Salty finish, hard, gratable cheese. Dry almost crumbly with a floral/fruity finish. Elements of earth and mushrooms. Really lovely flavor. Hard not to eat it all in one sitting."
Ewe F-O,sheep,IT,Firm sheep's milk made in Italy for Cypress Grove It has a natural rind which is rubbed with olive oil. The flavor is slightly nutty with some complexity and a fruity element. It's a harder cheese which is easily grateable.
Explorateur,cow,FR,When ripe it is soft and almost starting to be runny.
Fiore Sardo Pinna,sheep,IT,A flavored Pecorino from Sardegna.
Fiscalini Farmstead Cheddar,cow/r,"CA, US",Clothbound - made from raw milk from their own Holstein cows. From Modesto.
Fleur de Chevre,goat,"CA, US",Crottin from Redwod Hill. Fresh it has a springy white rind and a soft chalky interior with a fresh goaty flavor.
Fleur de Maquis,sheep/R,FR,From Corsica. Like Brin D'amour.
Fleur Verte,goat/p,FR,A fresh cheese smothered in herbs and pink peppercorns. Try with rose wines.
Flixin,sheep,SWZ,Hard Cheese from Rolf Beeler. Rare to find.
Flower Marie,sheep/R,ENG,A Neal's Yard Selection. Golden Cross Cheese Co. Greenacres Farm East Sussex. Runny at room temperature and delicious! Must buy again!! full fat soft ewe’s milk cheese.
Forsterkase,cow,CH,"see ""Stanser Forsterkase"""
Fougerous,cow/P,FR,"A version of Coulommiers, pasteurized milk is used in the export to US version. Identifiable by the fern leaf draped over the top. A party stopper. Fantastic mushroomy and nutty flavor. Make sure it sits out for a while before eating - it's fantastic runny."
Fourme au Maury,cow/P,FR,A Blue cheese aged with Mas Amiel à Maury wine. From affineur Jacquy Canges.
Fourme D’Ambert,cow,FR,First Blue cheese Jack actually liked.
Fourme de Rochefort,cow,FR,"A traditional cheese made for over 200 years. Farm cheese made from unpasteurized whole cow’s milk. Flavors of dried fruit, and good acidity with a definite milkiness. Ivory color, sem-hard and creamy. The rind is grey with brown blemishes."
Fragolino,cow,IT,A Ubriaco style washed rind cheese - washed with Fragola wine.
Friesago,sheep,"MN, US","Shepherd’s Way Farm in Nerstrand. A mild slightly nutty, cheese  with a smooth flavor and a little grainyness. Comparable to Spanish Manchego or Parmesan in style. Pale gold in color. Made by Steven Read and Jodi Ohlsen Read."
Fumasion,sheep,FR,"From the Auvergne region. Brebis Smoked Aged Sheep Cheese from the Jura Mountain Range. Smoked in the same fashion as a sausage and has a deep, complex, flavor of hickory and ashes. Its texture is smooth and firm. Really great with Maggie Beer's Fig Paste."
Furiani,sheep/r,FR,From Corsica. A washed rind cheese. Looks like Taleggio - an orange rind square cheese. Slightly sweet soft cheese with a tangy flavor - a bit salty. Buttery too. Artisanal.
Gabietou,c-s,FR,"Made by Gabriel Bachelet, a great cheesemaker in Pau in the Pyrenees. The cheese is dense and rich, with a fruity flavor."
Giglio Sardo,sheep/r,IT,From Sardinia. A pecorino with a sweet nutty flavor. A firm gratable cheese.
Gour Noir,goat,FR,"Made in the village of Lapleau, Correze by the family Arnaud from milk of white Saanens goats. It is a little lozenge shaped cheese which tastes tangy like goat’s milk. The pate is slightly flakey so it is spreadable."
Grana Padano - Stravecchio Oro del Tempo,cow,IT,Hard Grating Cheese. Equal or superior to Parmesan Reggiano.
Grand Marcel,goat,"CA, US","Aged Cheese from Pugs Leap in Healdsburg, CA."
Gratte Paille,cow,FR,Soft creamy cheese. Tastes faintly mushroomy. High fat.
Grayson,cow/r,"VA, CA",Made by Meadowcreek Dairy in SW Virginia. Taleggio-like elements (which it is styled after). A yellow semi-soft washed rind cheese with a thin orange rind.
Great Hill Blue,cow/r,"MA, US",Made by Tim Hill at Great Hill Dairy in MA. Raw cow's milk and blue mold. Aged up to 1 yr. Spicy and rich.
Green Hill,cow/P,"GA, US","A soft-ripened cheese with a white, bloomy rind. Aged 3-6 weeks. It's rich, smooth and easy to eat - but not much distinguishing character."
Green Hill,cow/p,"CA, US",Rich double cream brie like cheese from Sweet Grass Dairy.
Green's Raw Milk Farmhouse Cheddar,cow,UK,From the town of Glastonbury. A delightful cheddar which is hard to stop eating. Very balanced and complex. Green's of Glastonbury is a member of the West Country Farmhouse Cheesemakers.
Gris Vulcan,cow,FR,"Beillevaire, raw milk  see also Grise de Volcans"
Grise des Volcans,cow/r,FR,From Pascal Beillevaire
Grotte del Tufo,sheep,IT,from Southern Tuscany. Tufo means limestone caves. A traditional pecorino style cheese. It is firm and a bit flakey with lot of complexity and a good amount of saltiness.
Gruyère (Gruyere),cow,FR,From Rolf Beeler. Made in the Jura Region.
Gubeen,cow,IRL,Neal’s Yard. Made by Giana Fergueson in Co. Cork.
Guernsey,cow/R,"WA, US",Cheesemaker Sally Jackson wrapped in distinctive grape leaves or chestnut leaves.
Harbourne Blue,goat,ENG,Neal’s Yard. One of the signature cheeses made by Robin Congdon.
Harvest Goat,goat,"MA, US","An aged cheese from Hillman Farms in Colrain, MA."
Haystack Boulder Chevre,goat,"CO, US","Haystack Mountain Goat Dairy in Longmount, CO produces this slightly chalky log. Not a lot of flavor on its own."
Herbiette,goat/R,FR,"From Nantes. Semi-soft creation is given a wondrous coat of herbs, much like Brin d'Amour (corsica) but with a different coating...the herbs include: thyme, savory, juniper, coriander, fennel and cayenne."
Hoch Ybrig,cow,CH,from affineur Rolf Beeler. A mountain cheese made during the summer months washed in a white wine brine. The pate is slightly granular complex with a distinct nuttiness. Melts really well. Try with Riesling.
Holly Springs,goat,"GA, US",A pleasant hard cheese. Not too goaty. Pyrenees style. Good texture.
Hooligan,cow/p,"CT, US","Strong, creamy cheese  with a orange washed-rind. Moderately stinky, with a soft creamy smooth texture. Made with Jersey milk. Bathed twice a week in a mixture of buttermilk and brine. Melts beautifully."
Humboldt Fog,goat,"CA, US",Cypress Grove's Humboldt County cheese is named for the morning fog. It's in the style of the French Morbier with a line of ash running through the center.
Ibores,goat,SP,Dry. Chalky feeling. Spicy acidic finish (like Appenzeller).
Il Caprino del Piemonte,goat,IT,From Piedmonte. A rustic spreadable traditional goat cheese from the mountains of the region.
Island Stream,sheep/p,NZ,A pecorino style cheese. White pate.Very mild. Made by Whitestone.
Isle of Mull Cheddar,cow,SCOT,Made by Jeff Reade. Cows fed hops in Winter. Aged in the Tobermory Distillery on an island off the west coast of Scotland. (Jack's been there!)
Jean Grogne,cow,FR,Triple crème. Creamy and rich. Bloomy rind. Mushroomy but delicate  with a sight bitterness on the finish.
Just Jack,cow,WA,Beecher's. A nice creamy Jack cheese.
La Biquet Poivre,goat,CAN,A pepper coated Fresh chevre from Fromagerie Tournevent in Quebec Canada. Fresh tangy cheese nicely balances with a fresh pepper coating. Joanne liked this one!
La Carre de Pere Antoine Mirabelle,cow,FR,Affine with eau de vie of Mirabelle plums. From the Fromagerie de L'Abbaye.
La Leyenda,sheep/R,SP,Comte-like with a sticky Brandy-washed rind with embedded dried herbs. It has a floral fruity aroma and a multi-dimensional fruity flavor.
La Pierre Doree,goat/r,FR,"Means ""golden stone"".  Pate has a scent of fresh salted butter, and salt. Very clean buttery fragrance with a hint of animal. The cheese has a chalky surface"
La Serena,sheep,SP,From Estremadura. Sheep’s milk when ripe is runny and soft in the center and divine. Try with Shiraz.
La Tur,c-g-s,IT,"From Alta Lange. Made from a blend of pasteurized cow, goat & sheep's milk"
La Yerbera,goat,SP,"Coated with crushed almonds. It has a woodsy, earthy appealing aroma plus a slightly nutty flavor with a sharp but pleasant finish"
Largo,cow,"CA, US","An aged triple crème cheese from Andante Dairy in Santa Rosa. They say it is comparable to La Bouille from Haute-Normandie. We say it is firm, nutty and divine."
Laruns,sheep,FR,A fermier cheese from the Pyreenees. Salty harder texture but still soft. A large hard rind cheese.
Le Chevrot,goat,FR,From Poitou-Charentes an aged goat cheese which is small and round. Depending on it's age the center will have a white chalky consistency while the area closer to the rind has more pronounced flavor. Great for spreading on bread. It is a popular choice.
Le Coeur d'alvignac,goat,FR,"Heart Shaped cheese. Packaged with Rose petal jam for Valentine's day. Made by Les Gariottes in Alvignac, France. A soft-ripened cheese with a mild flavor and saltiness which the sweetness of jam balances."
Le Grain D'Orge,cow,FR,From Normandy. Affine au Calvados.
Le Vache de Chalais,cow,FR,Thermalized cow's milk. Made in Dauphiné.  A little natural rind cow's milk cheese wrapped in chestnut leaves.
Le Welsche,cow/P,FR,Washed with Marc de Gewurtztraminer - An Alsatian munster like soft cheese with a washed rind made by Haxaire.
Lemon Quark,cow,"CA, US",From Spring Hill Jersey in Petaluma. Fluffly quark with a slight bitterness on finish infused with a delicate lemon flavor. Nice with fruit. They also make a plain flavor.
Leonora,goat,SP,"from Miticia. Cheese made from pure alpine goat's milk. Made in Leon, Spain."
